year,ActorId,Name,MovieId,Title,genre,Country,gross
#N/A,1806,Paulette Goddard,375,The Great Dictator,Comedy,#N/A,#N/A
2011,1110,Payman Maadi,958,Jodaeiye Nader az Simin,Drama,Other countries,31
1975,1615,Penelope Allen,928,Dog Day Afternoon,Biography,America,144
1993,1526,Penelope Ann Miller,241,Carlito's Way,Drama,Other countries,33.75
2001,1175,Penélope Cruz,975,Blow,Biography,Asia,15
2011,1175,Penélope Cruz,409,Pirates of the Caribbean: On Stranger Tides,#N/A,America,105.25
2001,1175,Penélope Cruz,396,Vanilla Sky,Romance,Other countries,106.75
2010,854,Penn Badgley,1000,Easy A,Romance,America,134.25
2008,960,Per Ragnar,714,Låt den rätte komma in,Romance,America,80
1974,1097,Perry Lopez,740,Chinatown,Drama,Asia,5.5
1997,208,Pete Postlethwaite,48,The Lost World: Jurassic Park,Sci-Fi,America,127.25
2002,1658,Peter Coyote,470,A Walk to Remember,Romance,Asia,86.75
1982,1658,Peter Coyote,190,E.T. the Extra-Terrestrial,#N/A,America,152.5
#N/A,48,Peter Facinelli,531,The Twilight Saga: Breaking Dawn - Part 2,Drama,#N/A,#N/A
1994,1092,Peter Greene,494,The Mask,Comedy,Other countries,161.5
1971,382,Peter Ostrum,984,Willy Wonka & the Chocolate Factory,#N/A,America,211.75
1962,1457,Peter O'Toole,52,Lawrence of Arabia,Biography,America,97.5
1994,1350,Peter Riegert,494,The Mask,Comedy,Other countries,161.5
2013,511,Peter Sarsgaard,145,Blue Jasmine,Drama,America,32
2004,511,Peter Sarsgaard,752,Garden State,Romance,Other countries,146
#N/A,511,Peter Sarsgaard,604,Green Lantern,#N/A,#N/A,#N/A
2010,511,Peter Sarsgaard,441,Knight and Day,Comedy,Other countries,141
2009,511,Peter Sarsgaard,855,Orphan,#N/A,Other countries,207.5
1964,972,Peter Sellers,407,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,America,59.25
1996,1192,Peter Stormare,543,Fargo,Drama,Asia,24.75
2013,1192,Peter Stormare,769,Hansel & Gretel: Witch Hunters,#N/A,Asia,92.25
1987,330,Peter Weller,431,RoboCop,#N/A,America,139
2002,90,Phellipe Haagensen,467,Cidade de Deus,Drama,America,170.75
2000,26,Phil Daniels,577,Chicken Run,Comedy,America,96.75
2003,915,Philip Baker Hall,793,Bruce Almighty,Comedy,America,102.75
2002,354,Philip Seymour Hoffman,372,25th Hour,Drama,America,207.5
1999,354,Philip Seymour Hoffman,992,Magnolia,Drama,America,116.75
2006,354,Philip Seymour Hoffman,322,Mission: Impossible III,#N/A,America,168.25
2011,354,Philip Seymour Hoffman,948,Moneyball,Biography,Other countries,104.5
2013,354,Philip Seymour Hoffman,676,The Hunger Games: Catching Fire,#N/A,America,129
#N/A,354,Philip Seymour Hoffman,938,The Ides of March,Drama,#N/A,#N/A
1988,1436,Philippe Noiret,860,Nuovo Cinema Paradiso,Drama,America,124.25
1984,1446,Phoebe Cates,460,Gremlins,Comedy,America,120.5
2015,721,Phylicia Rashad,99,Creed,Sport,America,177.75
2002,751,Pierce Brosnan,837,Die Another Day,#N/A,America,90.5
1995,751,Pierce Brosnan,260,GoldenEye,#N/A,Other countries,115
2008,751,Pierce Brosnan,718,Mamma Mia!,Romance,Other countries,39.75
1996,751,Pierce Brosnan,583,Mars Attacks!,Comedy,America,65
1993,751,Pierce Brosnan,288,Mrs. Doubtfire,Comedy,America,89.75
1999,751,Pierce Brosnan,129,The World Is Not Enough,#N/A,America,61.75
1997,751,Pierce Brosnan,819,Tomorrow Never Dies,#N/A,America,197.25
2015,657,Pierre Coffin,761,Minions,Animation,Asia,7.25
2002,18,Qi Shu,907,The Transporter,#N/A,America,177.5
#N/A,193,Queen Latifah,719,Stranger Than Fiction,Comedy,#N/A,#N/A
1996,837,Quentin Tarantino,826,From Dusk Till Dawn,#N/A,America,114.25
2009,801,Quinton Aaron,809,The Blind Side,Biography,Asia,28.5
1987,1441,R. Lee Ermey,216,Full Metal Jacket,Drama,America,99
2008,1095,Rachel Bilson,706,Jumper,#N/A,Other countries,34.5
2001,1645,Rachel Griffiths,975,Blow,Biography,Asia,15
2016,63,Rachel House,416,Moana,Comedy,America,81.5
2013,803,Rachel McAdams,523,About Time,Comedy,America,57
2016,803,Rachel McAdams,19,Doctor Strange,#N/A,America,186.25
2004,803,Rachel McAdams,230,Mean Girls,Comedy,Europe,9
2011,803,Rachel McAdams,334,Midnight in Paris,Romance,America,85.25
2009,803,Rachel McAdams,50,Sherlock Holmes,#N/A,Other countries,169.25
2011,803,Rachel McAdams,44,Sherlock Holmes: A Game of Shadows,#N/A,Asia,16.5
#N/A,803,Rachel McAdams,943,Southpaw,Sport,#N/A,#N/A
2015,803,Rachel McAdams,649,Spotlight,Drama,Other countries,236.75
2004,803,Rachel McAdams,139,The Notebook,Romance,America,118.5
2012,803,Rachel McAdams,285,The Vow,Romance,America,130.75
2005,803,Rachel McAdams,784,Wedding Crashers,Romance,Asia,29
1990,458,Rachel Ticotin,573,Total Recall,#N/A,America,60
2005,501,Rachel Weisz,242,Constantine,#N/A,America,149
2001,501,Rachel Weisz,451,Enemy at the Gates,Drama,America,56
2013,501,Rachel Weisz,986,Oz the Great and Powerful,#N/A,America,10.5
2012,501,Rachel Weisz,454,The Bourne Legacy,#N/A,America,103.5
2006,501,Rachel Weisz,390,The Fountain,Drama,America,68.5
#N/A,501,Rachel Weisz,436,The Lobster,Romance,#N/A,#N/A
1999,501,Rachel Weisz,261,The Mummy,#N/A,Other countries,156.5
2001,501,Rachel Weisz,192,The Mummy Returns,#N/A,America,96.75
2012,1274,Rachel Wood,936,Dredd,#N/A,Other countries,129.25
2004,1823,Radha Mitchell,831,Finding Neverland,Biography,America,87.25
2004,1823,Radha Mitchell,942,Man on Fire,Drama,America,87.75
2002,1823,Radha Mitchell,53,Phone Booth,#N/A,Other countries,141.75
2000,1823,Radha Mitchell,163,Pitch Black,Sci-Fi,America,105
#N/A,1823,Radha Mitchell,310,Silent Hill,#N/A,#N/A,#N/A
2009,1823,Radha Mitchell,723,Surrogates,#N/A,America,15.75
2015,807,Raffey Cassidy,563,Tomorrowland,#N/A,America,20.75
2010,1827,Ralph Fiennes,969,Clash of the Titans,#N/A,Asia,29.25
2002,1827,Ralph Fiennes,964,Red Dragon,Drama,America,80.75
1993,1827,Ralph Fiennes,312,Schindler's List,Biography,America,138.5
#N/A,1827,Ralph Fiennes,102,Spectre,#N/A,#N/A,#N/A
1996,1827,Ralph Fiennes,817,The English Patient,Romance,America,106
2014,1827,Ralph Fiennes,487,The Grand Budapest Hotel,Comedy,America,69
2008,1827,Ralph Fiennes,953,The Reader,Romance,Other countries,69
2012,1827,Ralph Fiennes,750,Wrath of the Titans,#N/A,Other countries,120.25
2011,538,Ramon Rodriguez,294,Battle Los Angeles,#N/A,America,114.25
2014,350,Randall Park,923,The Interview,Comedy,America,18.5
2012,201,Randy Couture,335,The Expendables 2,#N/A,Europe,23.75
2005,1340,Randy Quaid,341,Brokeback Mountain,Romance,America,97.75
2004,795,Raoul Bova,642,AVP: Alien vs. Predator,#N/A,America,91.25
2006,823,Raoul Max Trujillo,512,Apocalypto,Drama,America,98.75
2009,949,Rashida Jones,159,"I Love You, Man",Romance,Other countries,28
1939,1321,Ray Bolger,546,The Wizard of Oz,#N/A,America,68
1990,140,Ray Liotta,61,Goodfellas,Biography,America,125.75
2001,140,Ray Liotta,397,Hannibal,Drama,Other countries,82.25
2003,140,Ray Liotta,847,Identity,#N/A,America,78.5
2002,22,Ray Romano,629,Ice Age,Comedy,Other countries,140.75
2012,22,Ray Romano,144,Ice Age: Continental Drift,Comedy,Asia,65
2009,22,Ray Romano,37,Ice Age: Dawn of the Dinosaurs,Animation,America,84.5
2006,22,Ray Romano,845,Ice Age: The Meltdown,Comedy,America,118.75
#N/A,827,Ray Sahetapy,392,Serbuan maut,#N/A,#N/A,#N/A
2010,667,Ray Stevenson,79,The Book of Eli,Drama,Asia,45
#N/A,114,Rebecca Ferguson,238,Mission: Impossible - Rogue Nation,#N/A,#N/A,#N/A
2010,410,Rebecca Hall,843,The Town,Drama,America,209.25
2014,410,Rebecca Hall,307,Transcendence,Drama,Asia,74.25
2008,410,Rebecca Hall,384,Vicky Cristina Barcelona,Romance,Asia,30.5
2012,447,Rebel Wilson,305,Pitch Perfect,Romance,America,157
1999,671,Reese Witherspoon,782,Cruel Intentions,Romance,America,101
#N/A,671,Reese Witherspoon,590,Legally Blonde,Romance,#N/A,#N/A
2012,671,Reese Witherspoon,56,This Means War,Romance,Asia,22.25
2005,671,Reese Witherspoon,142,Walk the Line,Music,Other countries,169.25
#N/A,1010,Reginald Gardiner,375,The Great Dictator,Comedy,#N/A,#N/A
1988,735,Reginald VelJohnson,455,Die Hard,#N/A,Other countries,163
1990,735,Reginald VelJohnson,290,Die Hard 2,#N/A,America,72.5
1989,432,Rene Auberjonois,709,The Little Mermaid,Animation,Other countries,101.5
2014,1510,Rene Russo,790,Nightcrawler,Drama,Asia,23.75
2015,1510,Rene Russo,302,The Intern,Comedy,Asia,20.5
2001,225,Renée Zellweger,634,Bridget Jones's Diary,Romance,Other countries,104.5
2002,225,Renée Zellweger,689,Chicago,Comedy,America,124.5
2005,225,Renée Zellweger,721,Cinderella Man,Biography,America,127.25
1996,225,Renée Zellweger,507,Jerry Maguire,Romance,America,150.5
2000,225,Renée Zellweger,265,"Me, Myself & Irene",Comedy,Asia,18
#N/A,733,Rex Everhart,38,Beauty and the Beast,Animation,#N/A,#N/A
2007,375,Rhona Mitra,627,Shooter,Drama,America,130
1999,1355,Rhys Ifans,612,Notting Hill,Romance,Other countries,185.75
2012,1355,Rhys Ifans,9,The Amazing Spider-Man,Sci-Fi,Asia,21.25
2009,1148,Ricardo Darín,513,El secreto de sus ojos,Romance,America,26
2012,14,Richard Armitage,1,The Hobbit: An Unexpected Journey,#N/A,America,24.5
2014,14,Richard Armitage,625,The Hobbit: The Battle of the Five Armies,#N/A,America,40
2013,14,Richard Armitage,224,The Hobbit: The Desolation of Smaug,#N/A,Asia,16.75
1993,1625,Richard Attenborough,737,Jurassic Park,#N/A,Other countries,101.25
1963,1625,Richard Attenborough,947,The Great Escape,Drama,America,37.5
#N/A,1721,Richard Crenna,999,First Blood,#N/A,#N/A,#N/A
1981,132,Richard DeManincor,996,The Evil Dead,#N/A,America,112.25
1977,345,Richard Dreyfuss,658,Close Encounters of the Third Kind,Drama,America,130
#N/A,345,Richard Dreyfuss,157,Jaws,Drama,#N/A,#N/A
1990,1314,Richard Farnsworth,832,Misery,Drama,America,80
2002,1255,Richard Gere,689,Chicago,Comedy,America,124.5
#N/A,1255,Richard Gere,617,Hachi: A Dog's Tale,Drama,#N/A,#N/A
1990,1255,Richard Gere,223,Pretty Woman,Romance,Other countries,158.75
1996,1255,Richard Gere,786,Primal Fear,Drama,America,103.5
2004,866,Richard Griffiths,937,Harry Potter and the Prisoner of Azkaban,#N/A,America,27.5
2002,416,Richard Harris,363,Harry Potter and the Chamber of Secrets,#N/A,America,112
2001,416,Richard Harris,324,Harry Potter and the Sorcerer's Stone,#N/A,America,64.25
#N/A,416,Richard Harris,18,Unforgiven,Drama,#N/A,#N/A
1965,1779,Richard Haydn,789,The Sound of Music,Biography,America,116.25
#N/A,1157,Richard Jenkins,663,Jack Reacher,#N/A,#N/A,#N/A
2008,1157,Richard Jenkins,939,Step Brothers,Comedy,Asia,29
1982,455,Richard Masur,967,The Thing,#N/A,Other countries,180.5
1999,120,Richard McCabe,612,Notting Hill,Romance,Other countries,185.75
2004,1182,Richard Roxburgh,296,Van Helsing,#N/A,Other countries,77.25
2006,1634,Ricky Gervais,2,Night at the Museum,Comedy,America,161.75
2012,740,Rihanna,988,Battleship,#N/A,Other countries,117
2013,713,Rila Fukushima,730,The Wolverine,#N/A,Other countries,30.25
2013,1345,Rinko Kikuchi,868,Pacific Rim,#N/A,America,49.75
2004,925,Rip Torn,445,Dodgeball: A True Underdog Story,Comedy,America,47.25
#N/A,925,Rip Torn,982,Men in Black II,Comedy,#N/A,#N/A
1986,20,River Phoenix,203,Stand by Me,Drama,America,133.75
2014,127,Riz Ahmed,790,Nightcrawler,Drama,Asia,23.75
2002,966,Rob Maxey,34,Road to Perdition,Drama,America,49.5
2004,1622,Rob Schneider,82,50 First Dates,Romance,,127.25
2004,1703,Rob Tinkler,306,Harold & Kumar Go to White Castle,Comedy,,70
#N/A,612,Robby Benson,38,Beauty and the Beast,Animation,,#N/A
2007,1100,Robert Carlyle,168,28 Weeks Later,Drama,,103.75
1999,1100,Robert Carlyle,129,The World Is Not Enough,#N/A,,61.75
1985,293,Robert De Niro,199,Brazil,Drama,,47.75
1995,293,Robert De Niro,545,Casino,Drama,,137
1990,293,Robert De Niro,61,Goodfellas,Biography,,125.75
1995,293,Robert De Niro,489,Heat,Drama,,61.25
2011,293,Robert De Niro,122,Limitless,Sci-Fi,,22
2010,293,Robert De Niro,977,Machete,#N/A,,112.5
2004,293,Robert De Niro,8,Meet the Fockers,Romance,,78.75
2000,293,Robert De Niro,188,Meet the Parents,Romance,,110
1984,293,Robert De Niro,357,Once Upon a Time in America,Drama,,42.75
1980,293,Robert De Niro,853,Raging Bull,Biography,,60.75
1998,293,Robert De Niro,798,Ronin,#N/A,,154.25
2012,293,Robert De Niro,274,Silver Linings Playbook,Romance,,74.75
1996,293,Robert De Niro,406,Sleepers,Drama,,95.25
1976,293,Robert De Niro,60,Taxi Driver,Drama,,16
1978,293,Robert De Niro,283,The Deer Hunter,Drama,,120
1974,293,Robert De Niro,493,The Godfather: Part II,Drama,,54.25
2015,293,Robert De Niro,302,The Intern,Comedy,,20.5
1987,293,Robert De Niro,366,The Untouchables,Drama,,105.5
2015,639,Robert Downey Jr.,270,Avengers: Age of Ultron,#N/A,,35.25
2016,639,Robert Downey Jr.,810,Captain America: Civil War,#N/A,,116
2014,639,Robert Downey Jr.,259,Chef,Comedy,,19
2010,639,Robert Downey Jr.,606,Due Date,Comedy,,117.5
2008,639,Robert Downey Jr.,172,Iron Man,#N/A,,69.25
2010,639,Robert Downey Jr.,249,Iron Man 2,#N/A,,137
2013,639,Robert Downey Jr.,226,Iron Man Three,#N/A,,68.75
2005,639,Robert Downey Jr.,673,Kiss Kiss Bang Bang,Comedy,,33.25
2009,639,Robert Downey Jr.,50,Sherlock Holmes,#N/A,,169.25
2011,639,Robert Downey Jr.,44,Sherlock Holmes: A Game of Shadows,#N/A,,16.5
2012,639,Robert Downey Jr.,906,The Avengers,#N/A,,114.5
2014,639,Robert Downey Jr.,677,The Judge,Drama,,49
2008,639,Robert Downey Jr.,539,Tropic Thunder,Comedy,,28.75
2007,639,Robert Downey Jr.,119,Zodiac,Drama,,43.5
1979,775,Robert Duvall,570,Apocalypse Now,Drama,,143
1974,775,Robert Duvall,493,The Godfather: Part II,Drama,,54.25
2014,775,Robert Duvall,677,The Judge,Drama,,49
2009,775,Robert Duvall,946,The Road,Drama,,14.25
#N/A,244,Robert Englund,272,A Nightmare on Elm Street,#N/A,,#N/A
1997,1268,Robert Forster,631,Jackie Brown,Drama,,48.5
1980,1584,Robert Hays,902,Airplane!,Comedy,,108
1988,475,Robert Loggia,201,Big,Comedy,,67
#N/A,9,Robert Patrick,622,Safe House,#N/A,,#N/A
1991,9,Robert Patrick,783,Terminator 2: Judgment Day,#N/A,,114
2005,9,Robert Patrick,142,Walk the Line,Music,,169.25
2011,1537,Robert Pattinson,515,The Twilight Saga: Breaking Dawn - Part 1,Drama,,80.75
#N/A,1537,Robert Pattinson,531,The Twilight Saga: Breaking Dawn - Part 2,Drama,,#N/A
2010,1537,Robert Pattinson,383,The Twilight Saga: Eclipse,Drama,,73
2009,1537,Robert Pattinson,112,The Twilight Saga: New Moon,Drama,,105.75
2008,1537,Robert Pattinson,766,Twilight,Romance,,87.75
#N/A,295,Robert Redford,636,Butch Cassidy and the Sundance Kid,Biography,,#N/A
2014,295,Robert Redford,566,Captain America: The Winter Soldier,#N/A,,27
1973,295,Robert Redford,427,The Sting,Comedy,,14.5
1989,1156,Robert Sean Leonard,520,Dead Poets Society,Comedy,,141
#N/A,462,Robert Shaw,157,Jaws,Drama,,#N/A
1973,462,Robert Shaw,427,The Sting,Comedy,,14.5
#N/A,277,Robert Wagner,10,Austin Powers: The Spy Who Shagged Me,Comedy,,#N/A
1989,1506,Robert Wuhl,248,Batman,#N/A,,142.75
1993,643,Roberta Maxwell,560,Philadelphia,Drama,,74.75
1997,1754,Roberto Benigni,618,La vita è bella,Romance,,65
1992,260,Robin Williams,732,Aladdin,Comedy,,97.25
1989,260,Robin Williams,520,Dead Poets Society,Comedy,,141
1997,260,Robin Williams,754,Good Will Hunting,Romance,,57.5
1991,260,Robin Williams,45,Hook,Comedy,,111.75
#N/A,260,Robin Williams,330,Insomnia,Drama,,#N/A
1995,260,Robin Williams,729,Jumanji,Comedy,,125
1993,260,Robin Williams,288,Mrs. Doubtfire,Comedy,,89.75
1994,1466,Robin Wright,299,Forrest Gump,Romance,,125.25
2011,1466,Robin Wright,948,Moneyball,Biography,,104.5
1987,1466,Robin Wright,314,The Princess Bride,#N/A,,148.5
2000,1466,Robin Wright,231,Unbreakable,Drama,,28.75
1990,1051,Rodney A. Grant,990,Dances with Wolves,Drama,,107.25
1994,545,Rodney Dangerfield,506,Natural Born Killers,Drama,,185.5
#N/A,1214,Rodrigo Santoro,816,Focus,Comedy,,#N/A
1982,534,Rohini Hattangadi,461,Gandhi,Biography,,142
2005,112,Romany Malco,235,The 40 Year Old Virgin,Romance,,117.75
1999,953,Ron Livingston,11,Office Space,Comedy,,18.5
2013,953,Ron Livingston,509,The Conjuring,#N/A,,160
1997,1199,Ron Perlman,651,Alien: Resurrection,#N/A,,140
2002,1199,Ron Perlman,220,Blade II,#N/A,,24.25
2004,1199,Ron Perlman,572,Hellboy,#N/A,,17.5
2008,1199,Ron Perlman,584,Hellboy II: The Golden Army,#N/A,,94.75
2010,1199,Ron Perlman,889,Tangled,Comedy,,34.75
1987,1659,Ronny Cox,431,RoboCop,#N/A,,139
2013,852,Rooney Mara,315,Her,Romance,,29.5
2016,852,Rooney Mara,251,Lion,Biography,,45.75
2013,852,Rooney Mara,851,Side Effects,Drama,,125.25
2011,852,Rooney Mara,340,The Girl with the Dragon Tattoo,Drama,,43.75
2010,852,Rooney Mara,475,The Social Network,Biography,,96
2002,78,Rory Culkin,518,Signs,Drama,,10.5
2002,536,Rosamund Pike,837,Die Another Day,#N/A,,90.5
2007,536,Rosamund Pike,603,Fracture,Drama,,87.25
#N/A,536,Rosamund Pike,758,Gone Girl,Drama,,#N/A
#N/A,536,Rosamund Pike,663,Jack Reacher,#N/A,,#N/A
2009,536,Rosamund Pike,723,Surrogates,#N/A,,15.75
2013,536,Rosamund Pike,534,The World's End,Comedy,,170.5
2012,536,Rosamund Pike,750,Wrath of the Titans,#N/A,,120.25
2002,579,Rosario Dawson,372,25th Hour,Drama,,207.5
2007,579,Rosario Dawson,504,Death Proof,#N/A,,100.25
#N/A,579,Rosario Dawson,214,Eagle Eye,#N/A,,#N/A
2008,579,Rosario Dawson,940,Seven Pounds,Romance,,36
#N/A,579,Rosario Dawson,410,Unstoppable,#N/A,,#N/A
2007,1351,Rose Byrne,168,28 Weeks Later,Drama,,103.75
2011,1351,Rose Byrne,83,Bridesmaids,Romance,,123.5
2010,1351,Rose Byrne,27,Get Him to the Greek,Music,,177.25
#N/A,1351,Rose Byrne,660,Insidious,#N/A,,#N/A
2009,1351,Rose Byrne,549,Knowing,Drama,,102.25
2014,1351,Rose Byrne,496,Neighbors,Comedy,,7
2015,1351,Rose Byrne,611,Spy,Comedy,,13.5
2007,1351,Rose Byrne,540,Sunshine,#N/A,,124.5
2013,1351,Rose Byrne,862,The Internship,Comedy,,31.25
2007,392,Rose McGowan,380,Grindhouse,#N/A,,173
2007,392,Rose McGowan,638,Planet Terror,Comedy,,50.75
2016,901,Rosemarie DeWitt,295,La La Land,Music,,146.5
1962,241,Rosemary Murphy,712,To Kill a Mockingbird,Drama,,125.5
1982,685,Roshan Seth,461,Gandhi,Biography,,142
2011,1238,Rosie Huntington-Whiteley,865,Transformers: Dark of the Moon,#N/A,,133
#N/A,1614,Rosie Shaw,652,Moon,Drama,,#N/A
1937,472,Roy Atwell,332,Snow White and the Seven Dwarfs,Animation,,111.5
1984,1641,Roy Dotrice,113,Amadeus,Biography,,118.5
1971,1219,Roy Kinnear,984,Willy Wonka & the Chocolate Factory,#N/A,,211.75
#N/A,1249,Roy Scheider,157,Jaws,Drama,,#N/A
2006,301,Rudy Youngblood,512,Apocalypto,Drama,,98.75
#N/A,868,Rufus,788,Le fabuleux destin d'Amélie Poulain,Romance,,#N/A
1998,596,Rufus Sewell,510,Dark City,#N/A,,8.5
2006,596,Rufus Sewell,874,The Illusionist,Romance,,81.25
2001,1458,Rumi Hiiragi,273,Sen to Chihiro no kamikakushi,Animation,,104.75
2008,1048,Rupert Friend,687,The Boy in the Striped Pyjamas,Drama,,206.75
2005,1079,Rupert Graves,29,V for Vendetta,Drama,,16.5
2002,1520,Rupert Grint,363,Harry Potter and the Chamber of Secrets,#N/A,,112
2010,1520,Rupert Grint,98,Harry Potter and the Deathly Hallows: Part 1,#N/A,,135
#N/A,1520,Rupert Grint,222,Harry Potter and the Deathly Hallows: Part 2,Drama,,#N/A
2005,1520,Rupert Grint,490,Harry Potter and the Goblet of Fire,#N/A,,156
#N/A,1520,Rupert Grint,180,Harry Potter and the Half-Blood Prince,#N/A,,#N/A
2007,1520,Rupert Grint,65,Harry Potter and the Order of the Phoenix,#N/A,,82.25
2004,1520,Rupert Grint,937,Harry Potter and the Prisoner of Azkaban,#N/A,,27.5
2001,1520,Rupert Grint,324,Harry Potter and the Sorcerer's Stone,#N/A,,64.25
#N/A,1328,Russell Brand,931,Despicable Me,Comedy,,#N/A
2010,1328,Russell Brand,27,Get Him to the Greek,Music,,177.25
2007,145,Russell Crowe,950,3:10 to Yuma,Drama,,16.75
2001,145,Russell Crowe,876,A Beautiful Mind,Biography,,99.25
2007,145,Russell Crowe,160,American Gangster,Biography,,114.25
2008,145,Russell Crowe,980,Body of Lies,Drama,,149
2005,145,Russell Crowe,721,Cinderella Man,Biography,,127.25
2000,145,Russell Crowe,80,Gladiator,Drama,,87.25
1997,145,Russell Crowe,981,L.A. Confidential,Drama,,140.5
2012,145,Russell Crowe,62,Les Misérables,Drama,,157.75
2003,145,Russell Crowe,822,Master and Commander: The Far Side of the World,Drama,,65
2014,145,Russell Crowe,599,Noah,Drama,,25
2010,145,Russell Crowe,593,Robin Hood,Drama,,56.25
#N/A,145,Russell Crowe,559,The Next Three Days,Drama,,#N/A
2016,145,Russell Crowe,134,The Nice Guys,Comedy,,45.25
1982,1670,Rutger Hauer,598,Blade Runner,#N/A,,179.25
1968,1196,Ruth Gordon,941,Rosemary's Baby,Drama,,108.25
2009,1532,Ruth Livier,382,Drag Me to Hell,#N/A,,128.25
2010,1689,Ryan Gosling,957,Blue Valentine,Romance,,125
2011,1689,Ryan Gosling,483,"Crazy, Stupid, Love.",Romance,,27.75
2011,1689,Ryan Gosling,346,Drive,Drama,,30.5
2007,1689,Ryan Gosling,603,Fracture,Drama,,87.25
2013,1689,Ryan Gosling,71,Gangster Squad,Drama,,33
2016,1689,Ryan Gosling,295,La La Land,Music,,146.5
2015,1689,Ryan Gosling,777,The Big Short,Comedy,,38.25
#N/A,1689,Ryan Gosling,938,The Ides of March,Drama,,#N/A
2016,1689,Ryan Gosling,134,The Nice Guys,Comedy,,45.25
2004,1689,Ryan Gosling,139,The Notebook,Romance,,118.5
2012,1689,Ryan Gosling,421,The Place Beyond the Pines,Drama,,124.75
2000,757,Ryan Hurst,433,Remember the Titans,Biography,,48.75
2002,1365,Ryan McCluskey,6,Resident Evil,Sci-Fi,,221.25
1999,449,Ryan Phillippe,782,Cruel Intentions,Romance,,101
2011,449,Ryan Phillippe,368,The Lincoln Lawyer,Drama,,151.5
2014,531,Ryan Potter,635,Big Hero 6,Animation,,73.75
#N/A,1396,Ryan Reynolds,903,Deadpool,Comedy,,#N/A
#N/A,1396,Ryan Reynolds,604,Green Lantern,#N/A,,#N/A
#N/A,1396,Ryan Reynolds,622,Safe House,#N/A,,#N/A
2013,1396,Ryan Reynolds,244,The Croods,Animation,,85
2009,1396,Ryan Reynolds,182,The Proposal,Romance,,55.75
2009,1396,Ryan Reynolds,753,X-Men Origins: Wolverine,#N/A,,35.25
2006,1197,Sacha Baron Cohen,653,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,,167
2012,1197,Sacha Baron Cohen,422,The Dictator,Comedy,,121.25
#N/A,1432,Saffron Burrows,47,The Bank Job,#N/A,,#N/A
2007,367,Salli Richardson-Whitfield,557,I Am Legend,Drama,,140.25
1994,52,Sally Field,299,Forrest Gump,Romance,,125.25
2012,52,Sally Field,177,Lincoln,Biography,,134.25
1993,52,Sally Field,288,Mrs. Doubtfire,Comedy,,89.75
2013,570,Sally Hawkins,145,Blue Jasmine,Drama,,32
1995,1550,Salma Hayek,395,Desperado,#N/A,,58.75
2010,1550,Salma Hayek,360,Grown Ups,Comedy,,114.75
2016,1130,Sam Claflin,785,Me Before You,Romance,,89
2012,1130,Sam Claflin,802,Snow White and the Huntsman,Drama,,46.5
2007,738,Sam Elliott,25,Ghost Rider,#N/A,,15.5
2003,738,Sam Elliott,292,Hulk,#N/A,,104.5
1993,346,Sam Neill,737,Jurassic Park,#N/A,,101.25
2001,346,Sam Neill,678,Jurassic Park III,#N/A,,142.75
1990,346,Sam Neill,610,The Hunt for Red October,#N/A,,25.75
2012,346,Sam Neill,285,The Vow,Romance,,130.75
2001,60,Sam Robards,916,Artificial Intelligence: AI,Drama,,85.5
#N/A,574,Sam Rockwell,652,Moon,Drama,,#N/A
#N/A,574,Sam Rockwell,446,Seven Psychopaths,Comedy,,#N/A
2005,574,Sam Rockwell,774,The Hitchhiker's Guide to the Galaxy,Comedy,,123.75
2009,850,Sam Worthington,834,Avatar,#N/A,,46
2010,850,Sam Worthington,969,Clash of the Titans,#N/A,,29.25
2016,850,Sam Worthington,219,Hacksaw Ridge,Biography,,116.75
2009,850,Sam Worthington,196,Terminator Salvation,#N/A,,66.75
2012,850,Sam Worthington,750,Wrath of the Titans,#N/A,,120.25
2012,1126,Samantha Morton,541,John Carter,#N/A,,61
2002,1126,Samantha Morton,39,Minority Report,#N/A,,95.75
1989,121,Samuel E. Wright,709,The Little Mermaid,Animation,,101.5
#N/A,743,Samuel L. Jackson,21,1408,Drama,,#N/A
#N/A,743,Samuel L. Jackson,866,Captain America: The First Avenger,#N/A,,#N/A
2014,743,Samuel L. Jackson,566,Captain America: The Winter Soldier,#N/A,,27
1995,743,Samuel L. Jackson,522,Die Hard: With a Vengeance,#N/A,,14.75
1997,743,Samuel L. Jackson,631,Jackie Brown,Drama,,48.5
2008,743,Samuel L. Jackson,706,Jumper,#N/A,,34.5
2014,743,Samuel L. Jackson,684,Kingsman: The Secret Service,Comedy,,64
1994,743,Samuel L. Jackson,151,Pulp Fiction,Drama,,78.25
2005,743,Samuel L. Jackson,768,Star Wars: Episode III - Revenge of the Sith,#N/A,,145.75
2015,743,Samuel L. Jackson,393,The Hateful Eight,Drama,,82.5
2004,743,Samuel L. Jackson,505,The Incredibles,Animation,,8.75
2000,743,Samuel L. Jackson,231,Unbreakable,Drama,,28.75
#N/A,743,Samuel L. Jackson,879,xXx,#N/A,,#N/A
2004,912,Sanaa Lathan,642,AVP: Alien vs. Predator,#N/A,,91.25
2004,1835,Sandra Bullock,417,Crash,Drama,,97
2013,1835,Sandra Bullock,646,Gravity,Drama,,38.75
2015,1835,Sandra Bullock,761,Minions,Animation,,7.25
